acce	tiempo	ph	brix	hum	acar	bcar	zea	bcrip	lico	provitA	L	a	b	C	h
24	T0	5,49	7,5	68	1,4	1,6	1,7	1,7	1,1	2,6	10,87	14,32	13,37	19,59	43,03
24	T0	5,51	7,5	107	2,3	2,7	2,8	2,8	1,9	4,4	12,07	15,06	12,02	19,27	38,59
24	T0	5,41	7,4	88	3,4	3,9	4	4	2,8	6,3	13,89	15,88	15,53	22,21	44,36
44	T0	5,67	6,6	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	T0	5,68	6,6	87	1,1	1,3	1,3	1,3	1	2,1	5,25	20,26	8,94	22,15	23,81
44	T0	5,62	6,5	86	1,2	1,3	1,4	1,4	1	2,2	5,25	20,39	8,4	22,05	22,4
149	T0	5,54	8	80	1	1,2	1,2	1,2	0,9	1,9	9,18	13,08	9,95	16,43	37,26
149	T0	5,58	8,3	82	1,2	1,4	1,4	1,5	1	2,3	9,59	11,9	7,96	14,32	33,77
149	T0	5,52	8,3	83	1,2	1,3	1,4	1,4	1	2,2	8,66	12,81	8,75	15,51	34,34
24	T1	NA	NA	NA	0,8	1	1	1	1,2	1,6	NA	NA	NA	NA	NA
24	T1	NA	NA	NA	0,7	0,8	0,9	0,9	1,2	1,3	NA	NA	NA	NA	NA
24	T1	NA	NA	NA	0,7	0,9	0,9	0,9	0,9	1,4	NA	NA	NA	NA	NA
44	T1	NA	NA	NA	1,5	1,6	1,6	1,7	1,2	2,6	NA	NA	NA	NA	NA
44	T1	NA	NA	NA	1,2	1,3	1,4	1,5	1,1	2,2	NA	NA	NA	NA	NA
44	T1	NA	NA	NA	1,2	1,2	1,3	1,3	1	2,1	NA	NA	NA	NA	NA
149	T1	NA	NA	NA	0,8	1	1	1	0,7	1,6	NA	NA	NA	NA	NA
149	T1	NA	NA	NA	0,9	1,1	1,1	1,1	0,8	1,8	NA	NA	NA	NA	NA
149	T1	NA	NA	NA	1,1	1,3	1,3	1,4	1	2,1	NA	NA	NA	NA	NA
24	T2	NA	NA	NA	3,4	3,9	4,1	4,1	2,8	6,4	NA	NA	NA	NA	NA
24	T2	NA	NA	NA	4,1	4,7	4,9	4,9	3,5	7,7	NA	NA	NA	NA	NA
24	T2	NA	NA	NA	3,9	4,5	4,6	4,7	3,2	7,4	NA	NA	NA	NA	NA
44	T2	NA	NA	NA	5,3	6,1	6,3	6,3	4,5	10	NA	NA	NA	NA	NA
44	T2	NA	NA	NA	2,3	2,7	2,7	2,8	1,9	4,3	NA	NA	NA	NA	NA
44	T2	NA	NA	NA	4,7	5,5	5,7	5,7	4,1	8,9	NA	NA	NA	NA	NA
149	T2	NA	NA	NA	1,7	1,9	2	2	1,4	3,2	NA	NA	NA	NA	NA
149	T2	NA	NA	NA	2,5	3	3,1	3,1	2,2	4,8	NA	NA	NA	NA	NA
149	T2	NA	NA	NA	1	1,2	1,2	1,2	0,8	1,9	NA	NA	NA	NA	NA
